Correct_Word,Incorrect_Word,Error_Type,Letter_Count,Difficulty_Level
friend,freind,Transpositions,6,3
apple,appel,Transpositions,5,2
knife,nife,Silent Letters,5,2
know,no,Silent Letters,4,2
butter,buter,Omission of Letters,6,3
better,beter,Omission of Letters,6,3
cup,cupp,Addition of Letters,3,1
phone,fone,Letter-Phoneme Correspondence,5,2
elephant,elefant,Letter-Phoneme Correspondence,8,4
school,skool,Letter-Phoneme Correspondence,6,3
talk,tark,Letter-Phoneme Correspondence,4,2
climb,clime,Silent Letters,5,2
thumb,thum,Silent Letters,5,2
class,clas,Omission of Letters,5,2
glass,glaass,Addition of Letters,5,2
table,tble,Omission of Letters,5,2
chair,chari,Transpositions,5,2
ghost,gost,Silent Letters,5,2
write,rite,Silent Letters,5,2
swing,swiing,Addition of Letters,5,2
bed,beed,Addition of Letters,3,1
ship,sip,Letter-Phoneme Correspondence,4,2
judge,juj,Letter-Phoneme Correspondence,5,2
bottle,botle,Omission of Letters,6,3
ladder,lader,Omission of Letters,6,3
light,ligt,Transpositions,5,2
honest,onest,Silent Letters,6,3
magic,majik,Letter-Phoneme Correspondence,5,2
banana,bananna,Addition of Letters,6,3
umbrella,umberlla,Transpositions,8,4
plate,plae,Transpositions,5,2
write,wrte,Omission of Letters,5,2
knight,nite,Silent Letters,6,3
comb,com,Silent Letters,4,2
black,blacck,Addition of Letters,5,2
dog,doog,Addition of Letters,3,1
photo,foto,Letter-Phoneme Correspondence,5,2
giraffe,jiraf,Letter-Phoneme Correspondence,7,3
button,buton,Omission of Letters,6,3
castle,castel,Transpositions,6,3
half,haf,Silent Letters,4,2
answer,anser,Silent Letters,6,3
rough,ruf,Letter-Phoneme Correspondence,5,2
balloon,baloon,Omission of Letters,7,3
scientist,sciantist,Letter-Phoneme Correspondence,9,4
pencil,penicl,Transpositions,6,3
island,iland,Silent Letters,6,3
wrist,rist,Silent Letters,5,2
knee,nee,Silent Letters,4,2
rabbit,rabit,Omission of Letters,6,3
hammer,hamer,Omission of Letters,6,3
pen,penn,Addition of Letters,3,1
tiger,tigerr,Addition of Letters,5,2
queen,kween,Letter-Phoneme Correspondence,5,2
jacket,jaket,Letter-Phoneme Correspondence,6,3
carpet,capret,Transpositions,6,3
cupboard,cubard,Silent Letters,8,4
science,sciense,Letter-Phoneme Correspondence,7,3
planet,plannet,Addition of Letters,6,3
octopus,octupos,Transpositions,7,3
market,makret,Transpositions,6,3
honest,onest,Silent Letters,6,3
write,wite,Silent Letters,5,2
design,desgn,Omission of Letters,6,3
balloon,ballooon,Addition of Letters,7,3
bat,baat,Addition of Letters,3,1
camera,kamra,Letter-Phoneme Correspondence,6,3
chemistry,kemistry,Letter-Phoneme Correspondence,9,4
dinner,dinnre,Transpositions,6,3
plumber,plumer,Silent Letters,7,3
giraffe,girafe,Omission of Letters,7,3
mirror,miror,Omission of Letters,6,3
frog,frrrog,Addition of Letters,4,2
knight,knite,Silent Letters,6,3
nephew,nefew,Letter-Phoneme Correspondence,6,3
planet,palnet,Transpositions,6,3
scene,sene,Silent Letters,5,2
climb,clib,Silent Letters,5,2
basket,baket,Omission of Letters,6,3
summer,summerr,Addition of Letters,6,3
sun,sunn,Addition of Letters,3,1
dolphin,dolfin,Letter-Phoneme Correspondence,7,3
mechanic,mekenic,Letter-Phoneme Correspondence,8,4
packet,pakcet,Transpositions,6,3
wristwatch,ristwatch,Silent Letters,10,4
kitten,kiten,Omission of Letters,6,3
little,litttle,Addition of Letters,6,3
lamb,lam,Silent Letters,4,2
violin,vyolin,Letter-Phoneme Correspondence,6,3
blanket,blnaket,Transpositions,7,3
forest,foreset,Transpositions,6,3
receipt,receit,Silent Letters,7,3
thumb,thum,Silent Letters,5,2
doctor,doactor,Addition of Letters,6,3
train,trian,Transpositions,5,2
jump,jummp,Addition of Letters,4,2
cat,catt,Addition of Letters,3,1
rough,ruf,Letter-Phoneme Correspondence,5,2
niece,neese,Letter-Phoneme Correspondence,5,2
perfume,perfum,Omission of Letters,7,3
pepper,pepr,Omission of Letters,6,3
design,deesign,Addition of Letters,6,3
column,colum,Silent Letters,6,3
knight,knigt,Transpositions,6,3
psychology,sychology,Silent Letters,10,4
laptop,lapotp,Transpositions,6,3
hour,our,Silent Letters,4,2
kneeled,neeld,Silent Letters,7,3
summer,sumer,Omission of Letters,6,3
mirror,mirrror,Addition of Letters,6,3
box,boxx,Addition of Letters,3,1
psychology,psikology,Letter-Phoneme Correspondence,10,4
chef,shef,Letter-Phoneme Correspondence,4,2
artist,arstist,Transpositions,6,3
castle,castl,Silent Letters,6,3
hammer,hamr,Omission of Letters,6,3
bottle,bottlle,Addition of Letters,6,3
doubt,dout,Silent Letters,5,2
wrinkle,wrinkel,Transpositions,7,3
scientist,scientiest,Addition of Letters,9,4
desert,desret,Transpositions,6,3
ballet,balet,Silent Letters,6,3
receipt,receip,Omission of Letters,7,3
signal,signall,Addition of Letters,6,3
